Sample_ID,Question,Answer,Label
1,Are the stems (tillers) shorter than usual?,0,0
1,Do you smell any unusual or rotten odor near the plant base?,1,0
1,Can you easily pull the roots out of the soil?,1,0
1,Are you noticing yellowing on the lower stems?,0,0
1,Do the tillers appear dry or brittle?,1,0
1,Is there a soft mushy texture near the base of the stem?,0,0
1,Are any of the tillers wilted or drooping?,1,0
1,Do you see any black or brown spots on the stem?,0,0
1,Are ants or other insects more active around the tiller base?,1,0
1,Has the tiller growth slowed down recently?,0,0
2,Are the stems (tillers) shorter than usual?,0,1
2,Do you smell any unusual or rotten odor near the plant base?,0,1
2,Can you easily pull the roots out of the soil?,1,1
2,Are you noticing yellowing on the lower stems?,1,1
2,Do the tillers appear dry or brittle?,1,1
2,Is there a soft mushy texture near the base of the stem?,0,1
2,Are any of the tillers wilted or drooping?,1,1
2,Do you see any black or brown spots on the stem?,0,1
2,Are ants or other insects more active around the tiller base?,0,1
2,Has the tiller growth slowed down recently?,1,1
3,Are the stems (tillers) shorter than usual?,1,1
3,Do you smell any unusual or rotten odor near the plant base?,1,1
3,Can you easily pull the roots out of the soil?,1,1
3,Are you noticing yellowing on the lower stems?,1,1
3,Do the tillers appear dry or brittle?,1,1
3,Is there a soft mushy texture near the base of the stem?,0,1
3,Are any of the tillers wilted or drooping?,1,1
3,Do you see any black or brown spots on the stem?,1,1
3,Are ants or other insects more active around the tiller base?,1,1
3,Has the tiller growth slowed down recently?,0,1
4,Are the stems (tillers) shorter than usual?,1,1
4,Do you smell any unusual or rotten odor near the plant base?,0,1
4,Can you easily pull the roots out of the soil?,1,1
4,Are you noticing yellowing on the lower stems?,0,1
4,Do the tillers appear dry or brittle?,0,1
4,Is there a soft mushy texture near the base of the stem?,0,1
4,Are any of the tillers wilted or drooping?,1,1
4,Do you see any black or brown spots on the stem?,1,1
4,Are ants or other insects more active around the tiller base?,1,1
4,Has the tiller growth slowed down recently?,1,1
5,Are the stems (tillers) shorter than usual?,0,0
5,Do you smell any unusual or rotten odor near the plant base?,0,0
5,Can you easily pull the roots out of the soil?,0,0
5,Are you noticing yellowing on the lower stems?,0,0
5,Do the tillers appear dry or brittle?,0,0
5,Is there a soft mushy texture near the base of the stem?,0,0
5,Are any of the tillers wilted or drooping?,0,0
5,Do you see any black or brown spots on the stem?,0,0
5,Are ants or other insects more active around the tiller base?,0,0
5,Has the tiller growth slowed down recently?,0,0
6,Are the stems (tillers) shorter than usual?,1,1
6,Do you smell any unusual or rotten odor near the plant base?,0,1
6,Can you easily pull the roots out of the soil?,1,1
6,Are you noticing yellowing on the lower stems?,0,1
6,Do the tillers appear dry or brittle?,1,1
6,Is there a soft mushy texture near the base of the stem?,0,1
6,Are any of the tillers wilted or drooping?,1,1
6,Do you see any black or brown spots on the stem?,0,1
6,Are ants or other insects more active around the tiller base?,1,1
6,Has the tiller growth slowed down recently?,0,1
7,Are the stems (tillers) shorter than usual?,0,0
7,Do you smell any unusual or rotten odor near the plant base?,1,0
7,Can you easily pull the roots out of the soil?,0,0
7,Are you noticing yellowing on the lower stems?,1,0
7,Do the tillers appear dry or brittle?,1,0
7,Is there a soft mushy texture near the base of the stem?,0,0
7,Are any of the tillers wilted or drooping?,1,0
7,Do you see any black or brown spots on the stem?,0,0
7,Are ants or other insects more active around the tiller base?,1,0
7,Has the tiller growth slowed down recently?,0,0
8,Are the stems (tillers) shorter than usual?,0,1
8,Do you smell any unusual or rotten odor near the plant base?,1,1
8,Can you easily pull the roots out of the soil?,1,1
8,Are you noticing yellowing on the lower stems?,1,1
8,Do the tillers appear dry or brittle?,1,1
8,Is there a soft mushy texture near the base of the stem?,1,1
8,Are any of the tillers wilted or drooping?,0,1
8,Do you see any black or brown spots on the stem?,1,1
8,Are ants or other insects more active around the tiller base?,0,1
8,Has the tiller growth slowed down recently?,0,1
9,Are the stems (tillers) shorter than usual?,1,0
9,Do you smell any unusual or rotten odor near the plant base?,0,0
9,Can you easily pull the roots out of the soil?,0,0
9,Are you noticing yellowing on the lower stems?,0,0
9,Do the tillers appear dry or brittle?,0,0
9,Is there a soft mushy texture near the base of the stem?,0,0
9,Are any of the tillers wilted or drooping?,1,0
9,Do you see any black or brown spots on the stem?,1,0
9,Are ants or other insects more active around the tiller base?,0,0
9,Has the tiller growth slowed down recently?,0,0
10,Are the stems (tillers) shorter than usual?,0,0
10,Do you smell any unusual or rotten odor near the plant base?,0,0
10,Can you easily pull the roots out of the soil?,1,0
10,Are you noticing yellowing on the lower stems?,0,0
10,Do the tillers appear dry or brittle?,1,0
10,Is there a soft mushy texture near the base of the stem?,1,0
10,Are any of the tillers wilted or drooping?,0,0
10,Do you see any black or brown spots on the stem?,0,0
10,Are ants or other insects more active around the tiller base?,0,0
10,Has the tiller growth slowed down recently?,1,0
11,Are the stems (tillers) shorter than usual?,0,0
11,Do you smell any unusual or rotten odor near the plant base?,0,0
11,Can you easily pull the roots out of the soil?,0,0
11,Are you noticing yellowing on the lower stems?,1,0
11,Do the tillers appear dry or brittle?,0,0
11,Is there a soft mushy texture near the base of the stem?,0,0
11,Are any of the tillers wilted or drooping?,0,0
11,Do you see any black or brown spots on the stem?,1,0
11,Are ants or other insects more active around the tiller base?,0,0
11,Has the tiller growth slowed down recently?,1,0
12,Are the stems (tillers) shorter than usual?,0,0
12,Do you smell any unusual or rotten odor near the plant base?,0,0
12,Can you easily pull the roots out of the soil?,1,0
12,Are you noticing yellowing on the lower stems?,0,0
12,Do the tillers appear dry or brittle?,0,0
12,Is there a soft mushy texture near the base of the stem?,1,0
12,Are any of the tillers wilted or drooping?,0,0
12,Do you see any black or brown spots on the stem?,0,0
12,Are ants or other insects more active around the tiller base?,0,0
12,Has the tiller growth slowed down recently?,1,0
13,Are the stems (tillers) shorter than usual?,1,1
13,Do you smell any unusual or rotten odor near the plant base?,1,1
13,Can you easily pull the roots out of the soil?,0,1
13,Are you noticing yellowing on the lower stems?,1,1
13,Do the tillers appear dry or brittle?,0,1
13,Is there a soft mushy texture near the base of the stem?,1,1
13,Are any of the tillers wilted or drooping?,1,1
13,Do you see any black or brown spots on the stem?,1,1
13,Are ants or other insects more active around the tiller base?,0,1
13,Has the tiller growth slowed down recently?,1,1
14,Are the stems (tillers) shorter than usual?,0,0
14,Do you smell any unusual or rotten odor near the plant base?,1,0
14,Can you easily pull the roots out of the soil?,0,0
14,Are you noticing yellowing on the lower stems?,0,0
14,Do the tillers appear dry or brittle?,0,0
14,Is there a soft mushy texture near the base of the stem?,1,0
14,Are any of the tillers wilted or drooping?,0,0
14,Do you see any black or brown spots on the stem?,0,0
14,Are ants or other insects more active around the tiller base?,0,0
14,Has the tiller growth slowed down recently?,0,0
15,Are the stems (tillers) shorter than usual?,0,0
15,Do you smell any unusual or rotten odor near the plant base?,0,0
15,Can you easily pull the roots out of the soil?,0,0
15,Are you noticing yellowing on the lower stems?,0,0
15,Do the tillers appear dry or brittle?,0,0
15,Is there a soft mushy texture near the base of the stem?,0,0
15,Are any of the tillers wilted or drooping?,0,0
15,Do you see any black or brown spots on the stem?,0,0
15,Are ants or other insects more active around the tiller base?,0,0
15,Has the tiller growth slowed down recently?,0,0
16,Are the stems (tillers) shorter than usual?,1,1
16,Do you smell any unusual or rotten odor near the plant base?,0,1
16,Can you easily pull the roots out of the soil?,1,1
16,Are you noticing yellowing on the lower stems?,1,1
16,Do the tillers appear dry or brittle?,1,1
16,Is there a soft mushy texture near the base of the stem?,1,1
16,Are any of the tillers wilted or drooping?,0,1
16,Do you see any black or brown spots on the stem?,1,1
16,Are ants or other insects more active around the tiller base?,0,1
16,Has the tiller growth slowed down recently?,1,1
17,Are the stems (tillers) shorter than usual?,1,0
17,Do you smell any unusual or rotten odor near the plant base?,0,0
17,Can you easily pull the roots out of the soil?,0,0
17,Are you noticing yellowing on the lower stems?,1,0
17,Do the tillers appear dry or brittle?,1,0
17,Is there a soft mushy texture near the base of the stem?,1,0
17,Are any of the tillers wilted or drooping?,0,0
17,Do you see any black or brown spots on the stem?,1,0
17,Are ants or other insects more active around the tiller base?,1,0
17,Has the tiller growth slowed down recently?,1,0
18,Are the stems (tillers) shorter than usual?,1,0
18,Do you smell any unusual or rotten odor near the plant base?,1,0
18,Can you easily pull the roots out of the soil?,1,0
18,Are you noticing yellowing on the lower stems?,0,0
18,Do the tillers appear dry or brittle?,0,0
18,Is there a soft mushy texture near the base of the stem?,1,0
18,Are any of the tillers wilted or drooping?,0,0
18,Do you see any black or brown spots on the stem?,1,0
18,Are ants or other insects more active around the tiller base?,0,0
18,Has the tiller growth slowed down recently?,0,0
19,Are the stems (tillers) shorter than usual?,1,1
19,Do you smell any unusual or rotten odor near the plant base?,0,1
19,Can you easily pull the roots out of the soil?,1,1
19,Are you noticing yellowing on the lower stems?,1,1
19,Do the tillers appear dry or brittle?,0,1
19,Is there a soft mushy texture near the base of the stem?,1,1
19,Are any of the tillers wilted or drooping?,1,1
19,Do you see any black or brown spots on the stem?,1,1
19,Are ants or other insects more active around the tiller base?,1,1
19,Has the tiller growth slowed down recently?,1,1
20,Are the stems (tillers) shorter than usual?,0,1
20,Do you smell any unusual or rotten odor near the plant base?,1,1
20,Can you easily pull the roots out of the soil?,1,1
20,Are you noticing yellowing on the lower stems?,1,1
20,Do the tillers appear dry or brittle?,1,1
20,Is there a soft mushy texture near the base of the stem?,1,1
20,Are any of the tillers wilted or drooping?,1,1
20,Do you see any black or brown spots on the stem?,0,1
20,Are ants or other insects more active around the tiller base?,1,1
20,Has the tiller growth slowed down recently?,1,1
